SP-Code,Local-Name,Gen-Code,SP-Name,Royal-Class
ACSA,ACH SAT,,,Non Class 
ADCH,ACHDERK,,,Non Class 
AKSL,ANGKEA SEL,OCHNA,HARMANDII,Non Class 
AMBB,AMBENG BEK,CARDIOSPERMUM,HALICACABUM,Non Class 
AMCN,AMBENG CHAN,,,Non Class 
AMPI,AMPIL TOEUK PREY,CYNOMETRA,RAMIFLORA,Non Class 
ANCH,ANGKOCH,,,Non Class 
ANKB,ANGKEA BOS,MILLINGTON,HORTENSIS,Non Class 
ANKM,ANGKOT KHMAU,DIOSPYROS,BEJAUDI,LUXU
ANKN,ANGKANH,CASSIA,SIAMEA,LUXU
ANKT,ANGKAT TMAAT,STEREOSPER,CHELON,FIRS
ANOM,ANGKRANG PHNOM,,,Non Class 
ANRD,ANGRE DEK,DRACAENA,SP,Non Class 
APEN,APHEAN,,,Non Class 
ATES,ATES,,,Non Class 
ATNG,ATEANG/ROTEANG,HOMALIUM,ANNAMENSIS,THIR
ATSR,ANNTUNG SOR,PSYCHOTRIA,REVESII,Non Class 
ATTT,ATITH/NEANG PHOR EK ,HASSIA,CUNEATA,SECO
BADM,BAK DERM,,,Non Class 
BAKG,BANGKANG,,,Non Class 
BAKK,BANGKONG KENGKONG,,,Non Class 
BAKP,BAKPAO,,,Non Class 
BBOK,BOR BORK,,,Non Class 
BDNG,BAKDORNG,GARDENIA,PHILASTREA,Non Class 
BELY,BELOY,LITSEA,VENG,FIRS
BENG,BENG,PAHUDIA,COCHINCHINEN,LUXU
BKSV,BANGKEOU SVA,,,Non Class 
BNKO,BAG KHEOU,AGLASIA,GIGANTEA,THIR
BOPR,BO PROEUK,CASSIA,JAVANICA,Non Class 
BRCH,BROR CHOK,,,Non Class 
BSNK,BOSNEAK,MESUA,FERREA,FIRS
BTIL,BATPHTIL,,,Non Class 
BYPV,BAY POU VAING,,,THIR
CABB,CHAM BAK BARAING,TERMINALIA,CATAPPA,Non Class 
CASA,KHCHOENG,CALOPHYLIU,M SAIGONENSIS,THIR
CCHB,CHOEUNG CHAB,LASYMACHAL,LAMENTA,LUXU
CHBG,CHHOETEAL BANGKOUY/NEANGDENG,DIPTEROCAR,COSTAT,SECO
CHBK,CHAM BAK,IRVINGIACE,IRVINGIA MALAYNA,Non Class 
CHBR,CHHOETEAL BRENG,DITEROCAPUS,JOURDALNII,SECO
CHCK,CHHOENG CHKER,,,Non Class 
CHEK,CHANG ENG SEK,,,Non Class 
CHHA,CHHAR,BUTEA,FRONDOSA,Non Class 
CHHU,CHHOM POU PREY,ARDISIA,HELFERIANA,Non Class 
CHKG,CHEUNG KRORVAING,,,Non Class 
CHKM,CHHOEU KHMAV/NEANG KHMAV,DIOSPYROS,SP.,LUXU
CHKO,CHOEUNG KO,BAUHINIA,ACUMINATA,Non Class 
CHKP,CHUNGKONG PHON,,,Non Class 
CHKR,CHAN KRASNA,AQUILARIA,CRASNA,THIR
CHKU,CHEUNG KRAPEU,,,Non Class 
CHLK,CHHLIK,TERMINALIA,TOMENTOSA,FIRS
CHLS,CHORNLOS,ERIOGLSSUM,SERRRLATA,Non Class 
CHMC,CHHAM CHHA,TOONA,FEBRIFUGA,SECO
CHMI,CHHOETEAL MOSAU,DIPTEROCAR,ALATUS,SECO
CHMK,CHAMRIEK,ALBIZZIA,LEBEKKOIDES,Non Class 
CHNA,CHANG NANG,DIOSYROS,BOXIFOLIA,Non Class 
CHNO,CHNOK,,,Non Class 
CHNY,CHORNY,,,Non Class 
CHOV,CHOV,,,Non Class 
CHPL,CHHOE PHLOEUNG,DIOSPYROS,NITIDA,Non Class 
CHPS,CHHOETEAL PREUS,,,Non Class 
CHRH,CHORCHONG,SHOREA,VULGARIS,SECO
CHRK,CHRAKENG,COCCOCERAS,ANISOPODUM,Non Class 
CHRM,CHANG KONG ROMEANG,BOERHAVIA,RIPENDA,Non Class 
CHRS,CHREIS,ALBIZZIA,LEBBEK,LUXU
CHTP,CHAN TOUM PEANG,PTEROCYMBI/STERCULIA,CMPANULATUM/CAPANULATA,THIR
CHTR,CHHOETEAL CHHNGAR,DIPTEROCAR,DYORI,SECO
CHTU,CHNOK TROU,,,Non Class 
CHUT,CHORNG UOR THMAT,STEREOSPER,MUM CHENLO,THIR
CKTM,CHEK TUM,CINNAMOMUM,LITSAEF O,THIR
CREY,CHREY,MORACEAE,FICUS SP,Non Class 
CRMS,CHRASMAS,VATICA,ASTROTRICHA,SECO
CTES,CHORNTESPLOUK,,,Non Class 
DAKD,DANG KEAP KDAM,ANTIDESMA,COCHINCHINENSIS,Non Class 
DCSP,DONCHERM  ,TARRIETIA,JAVANICA,FIRS
DGPR,DANGKEABPROEUS,,,Non Class 
DKOR,DONGKOR,DIOSPYROS,CHEVALIERI,Non Class 
DKPO,DOKPO,BIGNONIACE,MARKHAMIA PIERREI,Non Class 
DNKY,DOUNKAY,,,Non Class 
DOKM,DOK MEY,EUGENIA,MALACCENSIS,Non Class 
DRDV,DORNG DAV,GARDENIA,CAMBODIANA,Non Class 
DYKL,DEY KHLA,GARDENIA,ANKORENSIS,Non Class 
DYSP,DEY SAMPOCH,,,Non Class 
EPSH,EYSEIPHSAM SRACH,PHYLLANTUS,AMARUS,Non Class 
HISN,HAISANH/NGAYSANG/CHANSAR,CASSIA,GARRETIANA,LUXU
HUDN,HOUN DAN/MOREASPREOUPHNOM,DISOXYLON,JOUREIRI,LUXU
KACL,KACHEAL,,,Non Class 
KAKU,KAKHUCH,,,Non Class 
KANA,KANA,CANARIUM,PIMELA,Non Class 
KANE,KANER,,,Non Class 
KANT,KANTOUT PREY,PHYLLANTUS,EMBLICA,Non Class 
KAOM,KANGSENGPHNOM,,,Non Class 
KATG,KATOUNG,,,Non Class 
KAYK,KA YOUK,,,Non Class 
KBAL KRORLORNG,,,,Non Class 
KBDA,KANCHOEU BEY DACH,CAPPARIS,MICRANTHA,Non Class 
KBDK,KBAL DERK,,,Non Class 
KBKK,KROBAO KHEK,,,Non Class 
KCAS,KCHAS,DIOSPYROS,SYLVATICA,Non Class 
KCHP,KA CHIEP,PENTAPETES,PHOENICEA,Non Class 
KDAG,KANN DEANG,,,Non Class 
KDCE,KANDAB CHANG ET,,,Non Class 
KDCH,KDURCH,DIOSCOREA,HISPIDA,Non Class 
KDCK,KDOR COMBROK,,,Non Class 
KDOL,KDOL,SARCOCEPHA,CORDAT,THIR
KES,KES,MANILKARA/MANICORA,HEXANDRA/ALEXANDRA,FIRS
KHLG,KHLONG,DIPTEROCAR,TUBERC,SECO
KHMA,KHANNMA,ANCISTROCLADUS,HARMANDII,Non Class 
KHNH,KHNHE,MUCUNA,PRURIENS,Non Class 
KHOS,KHOS,LITHOCARPUS,ELEGANAS,Non Class 
KHOV,KCHOV/KAMLENG,SHOREA,THORELLI,SECO
KHTN,KHTING,CALOPHYLLU,SAIGONEN,Non Class 
KHVG,KHVENG,,,Non Class 
KKAL,KALKAL,,,Non Class 
KKCM,KONG KANGCHHMOL,RHIZOPHORA,MUCRONATA,THIR
KKDK,KOKI DEK,HOPEA,HELFERI,FIRS
KKGN,KONG KANGNHY,RHIZOPHPRA,CONJUGATA,THIR
KKKK,KALAP,,,Non Class 
KKKS,KOKI KHASAC,HOPEA,PIERREI,SECO
